Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-17,355.15,355.4,351.09,351.2438,50065784,0.0
2020-06-18,351.41,353.45,349.22,351.59,21375772,0.0
2020-06-19,354.635,356.56,345.15,349.55,90845598,0.0
2020-06-22,351.34,359.46,351.15,358.93,30845663,0.0
2020-06-23,364,372.37,362.2701,366.37,50255788,0.0
2020-06-24,365,368.79,358.52,360.06,44983139,0.0
2020-06-25,360.7,365,357.57,364.88,32015338,0.0
2020-06-26,364.41,365.32,353.02,353.69,40859277,0.0
2020-06-29,353.25,362.1736,351.28,362,29154717,0.0
2020-06-30,360.08,365.98,360,364.6,28884259,0.0
2020-07-01,365.12,367.36,363.91,364.01,25429807,0.0
2020-07-02,367.85,370.47,363.65,364.12,25332853,0.0
2020-07-06,370,375.78,369.87,373.81,26084791,0.0
2020-07-07,375.41,378.62,372.23,372.64,24610596,0.0
2020-07-08,376.72,381.5,376.36,381.44,26025692,0.0
2020-07-09,385.05,393.91,378.69,382.6599,29212120,0.0
2020-07-10,381.34,383.92,378.8207,383.52,20333748,0.0
2020-07-13,389.06,399.82,381.03,381.91,43528308,0.0
2020-07-14,379.36,389.02,375.51,388.21,37043531,0.0
2020-07-15,395.96,396.99,385.96,390.91,35722109,0.0
2020-07-16,386.25,389.62,383.62,385.72,24614253,0.0
2020-07-17,387.95,388.59,383.36,385.15,20185278,0.0
2020-07-20,385.665,394,384.25,393.43,19422805,0.0
2020-07-21,396.69,397,386.97,388,23389568,0.0
2020-07-22,386.77,391.9,386.41,389.09,18899399,0.0
2020-07-23,387.9935,388.31,369.64,371.56,25747322,0.0
2020-07-24,363.95,371.88,356.58,370.42,43883515,0.0
2020-07-27,374.84,379.62,373.92,379.215,26920001,0.0
2020-07-28,377.47,378.1986,372.99,373.04,23023333,0.0
2020-07-29,375,380.92,374.85,380.27,20387893,0.0
2020-07-30,376.75,385.19,375.07,384.88,29577510,0.0
2020-07-31,411.535,425.66,403.3,425.19,86940020,0.0
2020-08-03,432.8,446.5457,431.57,435.66,59319804,0.0
2020-08-04,436.53,443.16,433.55,438.81,40871187,0.0
2020-08-05,437.51,441.57,435.59,440.339,27322942,0.0
2020-08-06,441.62,457.65,439.19,455.88,47755979,0.0
2020-08-07,452.82,454.7,441.17,444.41,45586418,0.0
2020-08-10,449.75,452.98,440,450.94,40068874,0.0
2020-08-11,447.875,449.93,436.4267,437.51,42368444,0.0
2020-08-12,441.99,453.1,441.19,452.24,38649102,0.0
2020-08-13,457.72,464.17,455.71,460.03,48059064,0.0
2020-08-14,459.315,460,452.18,459.78,38149232,0.0
2020-08-17,464.25,464.35,455.8501,458.39,25935894,0.0
2020-08-18,457.41,464,456.03,462.08,24276411,0.0
2020-08-19,463.933,468.65,462.44,462.825,33874948,0.0
2020-08-20,463,473.568,462.9335,472.83,29389880,0.0
2020-08-21,477.05,499.472,477,497.4,79453112,0.0
2020-08-24,514.79,515.14,495.745,503.79,81260572,0.0
2020-08-25,498.79,500.7172,492.21,499.31,49337045,0.0
2020-08-26,504.7165,507.97,500.33,506.19,37949023,0.0
2020-08-27,508.57,509.94,495.33,500.04,36378278,0.0
2020-08-28,504.05,505.77,498.31,498.83,38207206,0.0
2020-08-31,127.58,131,126,128.85,199136542,0.0
2020-09-01,132.76,134.8,130.53,134.2,138233208,0.0
2020-09-02,137.59,137.98,127,131.22,184800962,0.0
2020-09-03,126.91,128.84,120.5,120.92,227958928,0.0
2020-09-04,120.07,123.7,110.89,120.9,308317528,0.0
2020-09-08,113.95,118.99,112.68,112.83,207475295,0.0
2020-09-09,117.26,119.14,115.26,117.18,154399690,0.0
2020-09-10,119.5,120.05,112.5,113.48,141520456,0.0
2020-09-11,114.57,115.23,110,112.01,168935205,0.0
2020-09-14,114.72,115.93,112.8,115.3599,123728990,0.0
2020-09-15,118.33,118.829,113.61,115.55,171497919,0.0
2020-09-16,115.23,116,112.04,112.13,142859370,0.0
2020-09-17,109.72,112.2,108.71,110.32,159638807,0.0
2020-09-18,110.4,110.88,106.09,106.6,208107357,0.0
2020-09-21,104.54,110.19,103.1,110.13,178442044,0.0
2020-09-22,112.68,112.86,109.16,110.8548,130506595,0.0
